Sequence ID	Sequence name	Collection date	Region	Database
EPI2017183	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Michigan/22-008890-006-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_c|EPI2017183"	2022-03-22	Central	GISAID
EPI2017031	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-008479-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2017031"	2022-03-21	Central	GISAID
EPI2016983	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/Maine/22-008367-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_compl|EPI2016983"	2022-03-18	Central	GISAID
EPI2017063	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-008485-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2017063"	2022-03-21	Central	GISAID
EPI2017071	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Maine/22-008540-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2017071"	2022-03-22	Central	GISAID
EPI2016967	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Maine/22-008366-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2016967"	2022-03-18	Central	GISAID
EPI2016951	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Kansas/22-008259-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_com|EPI2016951"	2022-03-16	Central	GISAID
EPI2016959	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Kansas/22-008259-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_com|EPI2016959"	2022-03-16	Central	GISAID
EPI2016935	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-008242-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2016935"	2022-03-17	Central	GISAID
EPI2016919	"HA|Seq4_[organism=Influenza_A_virus](A/turkey/South_Dakota/22-008239-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene|EPI2016919"	2022-03-17	Central	GISAID
EPI2053881	"HA|Seq4_[organism=Influenza_A_virus](A/fox/Wisconsin/22-013774-014-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2053881"	2022-05-01	Central	GISAID
EPI2053865	"HA|Seq4_[organism=Influenza_A_virus](A/fox/Wisconsin/22-013774-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2053865"	2022-05-01	Central	GISAID
EPI2053945	"HA|Seq4_[organism=Influenza_A_virus](A/fox/Wisconsin/22-014746-023-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2053945"	2022-05-06	Central	GISAID
EPI2053937	"HA|Seq4_[organism=Influenza_A_virus](A/fox/Wisconsin/22-014746-016-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2053937"	2022-05-03	Central	GISAID
EPI2053929	"HA|Seq4_[organism=Influenza_A_virus](A/fox/Wisconsin/22-014746-010-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2053929"	2022-05-03	Central	GISAID
EPI2053913	"HA|Seq4_[organism=Influenza_A_virus](A/red_fox/Minnesota/22-014660-002-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,|EPI2053913"	2022-05-10	Central	GISAID
EPI2053897	"HA|Seq4_[organism=Influenza_A_virus](A/fox/Iowa/22-014421-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_complete|EPI2053897"	2022-05-06	Central	GISAID
EPI2053889	"HA|Seq4_[organism=Influenza_A_virus](A/fox/Minnesota/22-014182-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_comp|EPI2053889"	2022-04-22	Central	GISAID
EPI1985974	HA|A/turkey/Indiana/22-003707-003/2022|EPI1985974	2022-02-07	Central	GISAID
EPI2067123	"HA|Seq4_[organism=Influenza_A_virus](A/chicken/Iowa/22-009985-001-original/2022(H5N1))_segment_4,_hemagglutinin_HA_(HA)_gene,_compl|EPI2067123"	2022-04-01	Central	GISAID
